DateTime,AddedIPs,RemovedIPs
1639120324,0,9
1639121524,8,0
1639122124,0,4
1639122723,1,0
1639123324,0,8
1639123925,6,11
1639125125,2,0
1639126324,1,6
1639127524,0,3
1639128124,2,0
1639128724,0,9
1639129924,3,8
1639130524,2,8
1639131725,4,3
1639132324,3,5
1639132924,4,0
1639134124,0,1
1639134724,0,1
1639135324,4,0
1639135924,5,2
1639137124,1,2
1639137723,0,1
1639138924,3,8
1639139524,2,2
1639140724,0,4
1639141324,2,3
1639142524,0,6
1639143125,2,2
1639143724,9,2
1639144323,2,3
1639144924,1,2
1639146123,1,0
1639146724,0,5
1639147924,1,2
1639148524,0,7
1639149724,0,1
1639150324,1,6
1639151524,0,2
1639152124,13,10
1639152724,4,0
1639153324,9,4
1639153924,4,9
1639155124,0,3
1639155725,3,0
1639156325,8,0
1639157524,1,7
1639158723,5,0
1639159324,5,0
1639159925,0,3
1639160524,5,0
1639161125,5,0
1639162324,1,6
1639162924,2,9
1639164124,6,0
1639164724,4,6
1639165924,4,11
1639166524,2,9
1639167724,9,0
1639168325,9,11
1639168925,9,4
1639169524,10,0
1639170725,10,9
1639171324,0,1
1639171925,10,0
1639172525,1,16
1639173124,6,0
1639175524,8,16
1639176724,6,20
1639177924,7,14
1639179125,8,7
1639179724,7,0
1639180324,4,3
1639180925,1,0
1639181525,2,4
1639182724,7,0
1639183326,5,16
1639183924,15,0
1639184524,15,0
1639185125,4,9
1639186324,10,0
1639186925,2,14
1639188125,2,8
1639188725,0,3
1639189924,17,3
1639190524,8,5
1639191725,5,16
1639193524,7,7
1639194124,2,0
1639194725,9,2
1639195324,2,0
1639198324,11,16
1639198924,7,7
1639200124,42,0
1639200725,9,7
1639201925,9,15
1639203125,11,8
1639204325,9,0
1639204925,3,0
1639205524,1,6
1639206124,0,2
1639207324,1,0
1639207925,0,6
1639209124,0,5
1639209724,1,0
1639210325,1,10
1639212125,2,1
1639213924,1,0
1639214524,2,5
1639215725,1,0
1639216324,71,0
1639216924,0,17
1639218125,2,4
1639220524,0,1
1639221724,2,0
1639222323,0,2
1639225324,1,6
1639225924,2,0
1639226524,0,3
1639228324,3,2
1639228924,0,2
1639230124,0,7
1639230723,2,0
1639233124,10,0
1639235525,2,1
1639236724,2,0
1639237324,1,15
1639237924,1,0
1639239723,7,11
1639240324,4,0
1639240924,2,0
1639241523,1,4
1639242724,0,8
1639243324,1,0
1639243924,4,4
1639245124,0,4
1639246923,4,5
1639248724,7,2
1639249324,0,10
1639250524,5,0
1639251725,13,11
1639252323,7,2
1639253524,8,0
1639254124,3,8
1639255924,49,26
1639257125,11,1
1639257724,3,0
1639259523,2,5
1639260124,0,13
1639260724,4,12
1639261323,4,0
1639261924,2,7
1639263123,7,0
1639263724,4,16
1639264924,13,0
1639266724,6,7
1639268524,9,10
1639269124,5,0
1639269724,1,9
1639270324,1,14
1639270923,0,10
1639271525,6,0
1639272724,6,21
1639273325,2,17
1639273924,3,0
1639275125,9,1
1639275724,2,0
1639276324,0,20
1639277525,6,17
1639278124,6,0
1639278725,9,13
1639279324,6,0
1639280525,2,11
1639281724,6,4
1639282325,3,16
1639283525,9,0
1639284124,3,7
1639284724,4,0
1639285324,2,0
1639286524,14,54
1639287726,5,0
1639288325,30,31
1639288924,9,6
1639289525,3,0
1639290124,9,0
1639290725,7,19
1639291924,12,1
1639292524,4,0
1639293124,12,0
1639293724,6,0
1639294325,1,0
1639294924,0,2
1639295524,3,0
1639296124,2,0
1639296724,0,4
1639297925,3,2
1639298525,8,0
1639299124,2,0
1639299724,1,1
1639300325,5,5
1639302124,1,20
1639302725,4,21
1639304524,5,22
1639305124,59,0
1639305725,3,1
1639306925,7,0
1639307525,3,0
1639308724,3,0
1639309924,2,0
1639311724,2,0
1639312324,0,3
1639312924,1,0
1639313524,1,0
1639314725,0,1
1639315324,1,0
1639315925,2,0
1639316525,2,0
1639317724,1,9
1639319524,2,31
1639320724,0,9
1639321324,2,0
1639322524,2,14
1639323124,2,1
1639324324,3,0
1639324924,5,0
1639325524,8,13
1639327325,10,5
1639327924,1,0
1639329125,2,1
1639329723,0,6
1639330324,9,0
1639331523,4,1
1639333324,6,9
1639333924,5,6
1639334524,2,1
1639335123,1,0
1639336324,8,2
1639336924,1,10
1639337524,2,0
1639338124,0,8
1639339324,5,0
1639340524,14,7
1639341724,2,11
1639342924,17,48
1639343524,2,5
1639345325,7,0
1639345924,4,1
1639346524,2,4
1639347126,5,3
1639347724,11,2
1639348324,0,6
1639349524,10,6
1639350726,3,0
1639351924,0,21
1639352524,2,7
1639353124,1,0
1639354325,2,0
1639355524,5,2
1639356125,1,2
1639356724,2,5
1639357324,3,0
1639359124,13,7
1639359725,4,3
1639360324,1,0
1639362124,16,16
1639363924,17,8
1639365724,6,16
1639366324,2,0
1639367525,11,13
1639368725,6,3
1639369324,6,6
1639369925,1,0
1639370525,2,4
1639371724,7,0
1639372925,9,19
1639373524,0,1
1639374124,4,0
1639374724,1,14
1639375324,5,33
1639376524,10,4
1639377125,8,0
1639377725,5,16
1639378925,6,4
1639379524,4,6
1639380724,0,11
1639381325,1,0
1639381924,1,10
1639383124,2,0
1639383725,0,3
1639384925,0,8
1639385524,0,12
1639386124,1,5
1639386725,0,2
1639387325,0,7
1639389124,4,3
1639390325,2,0
1639390925,1,0
1639391525,3,51
1639392125,8,0
1639392725,5,43
1639393325,8,8
1639394524,11,0
1639395125,2,0
1639396324,3,2
1639396924,4,1
1639397524,4,0
1639398124,1,0
1639398725,3,0
1639399324,12,3
1639400524,4,0
1639401125,2,0
1639402325,8,0
1639402925,7,0
1639404125,5,2
1639404726,0,6
1639405925,3,0
1639407124,5,2
1639407724,2,0
1639408324,8,3
1639409524,9,1
1639410125,2,0
1639410725,3,4
1639411324,53,9
1639412525,14,0
1639413124,4,14
1639413725,8,0
1639414324,7,2
1639414924,8,0
1639415524,5,0
1639416124,2,1
1639416725,4,6
1639417325,1,0
1639418524,7,8
1639419125,1,0
1639420325,6,5
1639421524,1,0
1639422725,11,1
1639423324,5,0
1639424524,2,0
1639425124,5,2
1639425724,1,5
1639426923,4,0
1639427524,11,6
1639428124,3,0
1639428724,2,0
1639429324,3,17
1639429925,0,10
